,Lyrics,Year
0,"When your legs don't work like they used to before
And I can't sweep you off of your feet
Will your mouth still remember the taste of my love?
Will your eyes still smile from your cheeks?

And darling, I will be loving you till we're seventy
And baby, my heart could still fall as hard at twenty-three
And I'm thinking 'bout how
People fall in love in mysterious ways
Maybe just the touch of a hand
Oh, me, I fall in love with you every single day
And I just wanna tell you I am

So honey, now
Take me into your loving arms
Kiss me under the light of a thousand stars
Place your head on my beating heart
I'm thinking out loud
Maybe we found love right where we are

When my hair's all but gone and my memory fades
And the crowds don't remember my name
When my hands don't play the strings the same way
I know you will still love me the same

'Cause honey, your soul
It could never grow old, it's evergreen
And baby, your smile's forever in my mind and memory
And I'm thinking 'bout how
People fall in love in mysterious ways
And maybe it's all part of a plan
Well, I'll just keep on making the same mistakes
Hoping that you'll understand

But baby, now
Take me into your loving arms
Kiss me under the light of a thousand stars
Place your head on my beating heart
I'm thinking out loud
That maybe we found love right where we are

So baby, now
Take me into your loving arms
Kiss me under the light of a thousand stars
Oh darling, place your head on my beating heart
I'm thinking out loud
That maybe we found love right where we are
Oh, maybe we found love right where we are
And we found love right where we are",2015
1,"Remy Boyz, yeah
1738

I'm like ""hey, what's up, hello""
Seen yo pretty ass soon as you came in that door
I just wanna chill, got a sack for us to roll
Married to the money, introduced her to my stove
Showed her how to whip it, now she remixin' for low
She my trap queen, let her hit the bando
We be countin' up, watch how far them bands go
We just set a goal, talkin' matchin' Lambos
Got 50, 60 grand, 5 100 grams though
Man, I swear I love her how she work the damn pole
Hit the strip club, we be letting bands go
Everybody hating, we just call them fans though
In love with the money, I ain't never letting go

And I get high with my baby
I just left the mall, I'm getting fly with my baby, yeah
And I can ride with my baby
I be in the kitchen cooking pies with my baby, yeah

And I get high with my baby
I just left the mall, I'm getting fly with my baby, yeah
And I can ride with my baby
I be in the kitchen cooking pies with my baby, yeah

I hit the strip with my trap queen 'cause all we know is bands
I just might snatch up a 'Rari and buy my boo a 'Lamb
I might just snatch her necklace, drop a couple on a ring
She ain't want it for nothin' because I got her everything
Bitch you up in the bando, without deniro can't go
Remi boys got extendo, count up hella bands tho
How far can your Benz go?
Fetty Wap I'm living fifty thousand K how I stand tho
If you checking out my pockets hol' up

And I get high with my baby
I just left the mall, I'm getting fly with my baby, yeah
And I can ride with my baby
I be in the kitchen cooking pies with my baby, yeah

And I get high with my baby
I just left the mall, I'm getting fly with my baby, yeah
And I can ride with my baby
I be in the kitchen cooking pies with my baby, yeah

I'm like ""hey, what's up, hello""
Seen yo pretty ass soon as you came in that door
I just wanna chill, got a sack for us to roll
Married to the money, introduced her to my stove
Showed her how to whip it, now she remixin' for low
She my trap queen, let her hit the bando
We be countin' up, watch how far them bands go
We just set a goal, talkin' matchin' Lambos
Got 50, 60 grand, 5 100 grams though
Man, I swear I love her how she work the damn pole
Hit the strip club, we be letting bands go
Everybody hating, we just call them fans though
In love with the money, I ain't never letting go

I be smoking dope and you know Backwoods what I roll
Remy Boy, Fetty eating shit up that's fasho
Ill run in ya house, then I'll fuck your ho
'Cause Remy Boyz are nuttin', Re-Re-Remy Boyz are nuttin'",2015
2,"I'm hurting, babe, I'm broken down
I need your loving, loving, I need it now
When I'm without you, I'm something weak
You've got me begging, begging, I'm on my knees

I don't want to be needing your love
I just want to be deep in your love
And still in me when you're away
Ooh baby, 'cause I really don't care where you are
I just want to be there where you are
And I gotta get one little taste

Your sugar, yes please
Won't you come and put it down on me?
I'm right here 'cause I need
A little love, a little sympathy
Yeah you show me good loving, make it alright
Need a little sweetness in my life
Your sugar, yes please
Won't you come and put it down on me?

My broken pieces, you picked them up
Don't leave me hanging, hanging, come give me some
When I'm without you, oh, so insecure
You are the one thing, one thing I'm living for

I don't want to be needing your love
I just want to be deep in your love
And still in me when you're away
Ooh baby, 'cause I really don't care where you are
I just want to be there where you are
And I gotta get one little taste

Your sugar, yes please
Won't you come and put it down on me?
I'm right here 'cause I need
A little love, a little sympathy
Yeah you show me good loving, make it alright
Need a little sweetness in my life
Your sugar, yes please
Won't you come and put it down on me?

I want that red velvet, I want that sugar sweet
Don't let nobody touch it unless that somebody's me
I gotta be a man, there ain't no other way
'Cause girl you're hotter than a southern California day
I don't want to play no games, you don't got to be afraid
Don't give me all that shine shit, no makeup on, that's my

Sugar, yes please
Won't you come and put it down on me?
I'm right here 'cause I need
A little love, a little sympathy
Yeah you show me good loving, make it alright
Need a little sweetness in my life
Your sugar, yes please
Won't you come and put it down on me?

Your sugar, yes please
Won't you come and put it down on me?
I'm right here 'cause I need
A little love, a little sympathy
Yeah you show me good loving, make it alright
Need a little sweetness in my life
Your sugar, yes please
Won't you come and put it down on me?

Down on me, ooh, haha",1990
3,"Nice to meet you, where you been?
I could show you incredible things
Magic, madness, heaven, sins
Saw you there and I thought

""Oh my God, look at that face!""
You look like my next mistake
Love's a game, wanna play?

New money, suit and tie
I can read you like a magazine
Ain't it funny, rumors fly
And I know you heard about me

So hey, let's be friends
I'm dying to see how this one ends
Grab your passport and my hand
I can make the bad guys good for a weekend

So it's gonna be forever
Or it's gonna go down in flames
You can tell me when it's over (mmm)
If the high was worth the pain

Got a long list of ex-lovers
They'll tell you I'm insane
'Cause you know I love the players
And you love the game

'Cause we're young and we're reckless
We'll take this way too far
It'll leave you breathless (mmm)
Or with a nasty scar

Got a long list of ex-lovers
They'll tell you I'm insane
But I got a blank space, baby
And I'll write your name

Cherry lips, crystal skies
I could show you incredible things
Stolen kisses, pretty lies
You're the king, baby, I'm your queen

Find out what you want
Be that girl for a month
Wait, the worst is yet to come
Oh no

Screaming, crying, perfect storms
I can make all the tables turn
Rose garden filled with thorns
Keep you second-guessing like

""Oh my God, who is she?""
I get drunk on jealousy
But you'll come back each time you leave
'Cause darling, I'm a nightmare dressed like a daydream

So it's gonna be forever
Or it's gonna go down in flames
You can tell me when it's over (mmm)
If the high was worth the pain

Got a long list of ex-lovers
They'll tell you I'm insane
'Cause you know I love the players
And you love the game

'Cause we're young and we're reckless (oh)
We'll take this way too far
It'll leave you breathless (mmm)
Or with a nasty scar

Got a long list of ex-lovers
They'll tell you I'm insane
But I got a blank space, baby
And I'll write your name

Boys only want love if it's torture
Don't say I didn't, say I didn't warn ya
Boys only want love if it's torture
Don't say I didn't, say I didn't warn ya

So it's gonna be forever
Or it's gonna go down in flames
You can tell me when it's over (over)
If the high was worth the pain

Got a long list of ex-lovers
They'll tell you I'm insane
'Cause you know I love the players
And you love the game

'Cause we're young and we're reckless
We'll take this way too far (ooh)
It'll leave you breathless (mmm)
Or with a nasty scar

Got a long list of ex-lovers
They'll tell you I'm insane
But I got a blank space, baby
And I'll write your name",1990
4,"You make it look like it's magic
'Cause I see nobody, nobody but you, you, you
I'm never confused
Hey, hey

I'm so used to being used
So I love when you call unexpected
'Cause I hate when the moment's expected
So I'ma care for you, you, you
I'ma care for you, you, you, you, yeah
'Cause girl you're perfect
You're always worth it
And you deserve it
The way you work it
'Cause girl you earned it
Girl you earned it

You know our love would be tragic
So you don't pay it, don't pay it no mind
We live with no lies
Hey, hey
You're my favorite kind of night

So I love when you call unexpected
'Cause I hate when the moment's expected
So I'ma care for you, you, you
I'ma care for you, you, you, you, yeah
'Cause girl you're perfect
You're always worth it
And you deserve it
The way you work it
'Cause girl you earned it
Girl you earned it

On that lonely night
You said it wouldn't be love
But we felt the rush
It made us believe it there was only us
Convinced we were broken inside, inside

I'm so used to being used
So I love when you call unexpected
'Cause I hate when the moment's expected
So I'ma care for you, you, you
I'ma care for you, you, you, you, yeah
'Cause girl you're perfect
You're always worth it
And you deserve it
The way you work it
'Cause girl you earned it
Girl you earned it",1990
5,"Your man on the road, he doing promo
You said keep our business on the low-low
I'm just tryna get you out the friend-zone
'Cause you look even better than the photos

I can't find your house, send me the info
Driving through the gated residential
Found out I was coming, sent your friends home
Keep on tryna hide it but your friends know

I only call you when it's half past five
The only time that I'll be by your side
I only love it when you touch me, not feel me
When I'm fucked up, that's the real me
When I'm fucked up, that's the real me, yeah

I only call you when it's half past five
The only time I'd ever call you mine
I only love it when you touch me, not feel me
When I'm fucked up, that's the real me
When I'm fucked up, that's the real me, babe

I'mma let you know and keep it simple
Tryna keep it up don't seem so simple
I just fucked two bitches 'fore I saw you
And you gon' have to do it at my tempo

Always tryna send me off to rehab
Drugs start to feelin' like it's decaf
I'm just tryna live life for the moment
And all these motherfuckers want a relapse

I only call you when it's half past five
The only time that I'll be by your side
I only love it when you touch me, not feel me
When I'm fucked up, that's the real me
When I'm fucked up, that's the real me, yeah

I only call you when it's half past five
The only time I'd ever call you mine
I only love it when you touch me, not feel me
When I'm fucked up, that's the real me
When I'm fucked up, that's the real me, babe

Hills have eyes, the hills have eyes
Who are you to judge, who are you to judge?
Hide your lies, girl hide your lies
Only you to trust, only you

I only call you when it's half past five
The only time that I'll be by your side
I only love it when you touch me, not feel me
When I'm fucked up, that's the real me
When I'm fucked up, that's the real me, yeah

I only call you when it's half past five
The only time I'd ever call you mine
I only love it when you touch me, not feel me
When I'm fucked up, that's the real me
When I'm fucked up, that's the real me, babe

Yenefikir, ewedeshalo
Yenefikir, fikir, fikir
Yenefikir, fikir, fikir, fikir

Ewedeshalo, ewedeshalo
Yenefikir, fikir, fikir
Yenefikir, fikir, fikir, fikir",1990
6,"This time a mystery check the history 
From you hear my voice it's no secret
Cheerleader song but the words sing along 
No someone to dip on the remix
Me a di a di girl inna the tight up skirt 
But ooh they call me cheerleader
Pom poms in my hand when I sing dis song
Oh maybe they turn on the speaker

Say oh I think that I found myself a cheerleader
She's always right there when I need her
Oh I think that I found myself a cheerleader
She's always right there when I need her

When I need motivation, my one solution
Is my queen 'cause she stay strong yeah yeah 
She's always in my corner right there when I want her
All these other girls are tempting but I'm empty when you're gone 
And they say
Do you need me 
Do you think I'm pretty 
Do I make you feel like cheating
I'm like no not really (nuh uh) 

'Cause oh I think that I found myself a cheerleader
She's always right there when I need her
Oh I think that I found myself a cheerleader
She's always right there when I need her

If its wrong I don't care I'mma right this 
Thinks you don't have me flying the highest 
Say what say what you want call me like it
For the haters out there you can bite this
I'mma walk like a model talk like a model 
Call me mischief may 'cause because I'mma model
Been looking like say I won the lotto 
If I were a ooh then I'm off there singing like 

Oh I think that I found myself a cheerleader
She's always right there when I need her
Oh I think that I found myself a cheerleader
She's always right there when I need her

She gives me love and affection
Baby did I mention 
You're the only girl for me 
No I don't need no next one
Mama loves you too 
She thinks I made the right selection
All there's left to do is
Ask the question 

Oh I think that I found myself a cheerleader
She's always right there when I need her
Oh I think that I found myself a cheerleader
She's always right there when I need her",1990
7,"And I know she'll be the death of me, at least we'll both be numb
And she'll always get the best of me, the worst is yet to come
But at least we'll both be beautiful and stay forever young
This I know, yeah, this I know

She told me, ""Don't worry about it.""
She told me, ""Don't worry no more.""
We both know we can't go without it
She told me you'll never be alone, oh, oh, woo

I can't feel my face when I'm with you
But I love it, but I love it, oh
I can't feel my face when I'm with you
But I love it, but I love it, oh

And I know she'll be the death of me, at least we'll both be numb
And she'll always get the best of me, the worst is yet to come
All the misery was necessary when we're deep in love
This I know (this I know), girl, I know

She told me, ""Don't worry about it.""
She told me, ""Don't worry no more.""
We both know we can't go without it
She told me you'll never be alone, oh, oh, woo

I can't feel my face when I'm with you
But I love it, but I love it, oh
I can't feel my face when I'm with you
But I love it, but I love it, oh

I can't feel my face when I'm with you
But I love it (but I love it), but I love it (but I love it), oh
I can't feel my face when I'm with you
But I love it (but I love it), but I love it (but I love it), oh

She told me, ""Don't worry about it.""
She told me, ""Don't worry no more.""
We both know we can't go without it
She told me you'll never be alone, oh, oh, woo

I can't feel my face when I'm with you
But I love it (but I love it), but I love it (oh, I love it), oh
I can't feel my face when I'm with you
But I love it (but I love it), but I love it (but I love it), oh

I can't feel my face when I'm with you
But I love it (but I love it), but I love it (but I love it), oh
I can't feel my face when I'm with you
But I love it (when I'm with you), but I love it (when I'm with you), oh

I can't feel my face
Hey",1990
8,"You're the light, you're the night
You're the color of my blood
You're the cure, you're the pain
You're the only thing I wanna touch
Never knew that it could mean so much, so much

You're the fear, I don't care
'Cause I've never been so high
Follow me through the dark
Let me take you past our satellites
You can see the world you brought to life, to life

So love me like you do, lo-lo-love me like you do
Love me like you do, lo-lo-love me like you do
Touch me like you do, to-to-touch me like you do
What are you waiting for?

Fading in, fading out
On the edge of paradise
Every inch of your skin is a holy grail I've gotta find
Only you can set my heart on fire, on fire

Yeah, I'll let you set the pace
'Cause I'm not thinking straight
My head's spinning around, I can't see clear no more
What are you waiting for?

Love me like you do, lo-lo-love me like you do (Like you do)
Love me like you do, lo-lo-love me like you do
Touch me like you do, to-to-touch me like you do
What are you waiting for?

Love me like you do, lo-lo-love me like you do (Like you do)
Love me like you do, lo-lo-love me like you do (Yeah)
Touch me like you do, to-to-touch me like you do
What are you waiting for?

I'll let you set the pace
'Cause I'm not thinking straight
My head's spinning around, I can't see clear no more
What are you waiting for?

Love me like you do, lo-lo-love me like you do (Like you do)
Love me like you do, lo-lo-love me like you do (Yeah yeah)
Touch me like you do, to-to-touch me like you do
What are you waiting for?

Love me like you do, lo-lo-love me like you do (Like you do)
Love me like you do, lo-lo-love me like you do (Yeah)
Touch me like you do, to-to-touch me like you do (Ah)
What are you waiting for?",1990
9,"My lover's got humour
She's the giggle at a funeral
Knows everybody's disapproval
I should've worshipped her sooner

If the Heavens ever did speak
She's the last true mouthpiece
Every Sunday's getting more bleak
A fresh poison each week

We were born sick
You heard them say it

My church offers no absolutes
She tells me, ""Worship in the bedroom""
The only heaven I'll be sent to
Is when I'm alone with you

I was born sick
But I love it
Command me to be well
A-amen, amen, amen

Take me to church
I'll worship like a dog at the shrine of your lies
I'll tell you my sins and you can sharpen your knife
Offer me that deathless death
Good God, let me give you my life

Take me to church
I'll worship like a dog at the shrine of your lies
I'll tell you my sins and you can sharpen your knife
Offer me that deathless death
Good God, let me give you my life

If I'm a pagan of the good times
My lover's the sunlight
To keep the Goddess on my side
She demands a sacrifice

Drain the whole sea
Get something shiny
Something meaty for the main course
That's a fine lookin' high horse

What you got in the stable?
We've a lot of starving faithful
That looks tasty
That looks plenty
This is hungry work

Take me to church
I'll worship like a dog at the shrine of your lies
I'll tell you my sins, so you can sharpen your knife
Offer me my deathless death
Good God, let me give you my life

Take me to church
I'll worship like a dog at the shrine of your lies
I'll tell you my sins, so you can sharpen your knife
Offer me my deathless death
Good God, let me give you my life

No masters or kings when the ritual begins
There is no sweeter innocence than our gentle sin
In the madness and soil of that sad earthly scene
Only then I am human, only then I am clean

Oh oh
Amen, amen, amen

Take me to church
I'll worship like a dog at the shrine of your lies
I'll tell you my sins and you can sharpen your knife
Offer me that deathless death
Good God, let me give you my life

Take me to church
I'll worship like a dog at the shrine of your lies
I'll tell you my sins and you can sharpen your knife
Offer me that deathless death
Good God, let me give you my life",1990
10,"(Derulo...)

It's too hard to sleep
I got the sheets on the floor
Nothing on me
And I can't take it no more
It's a hundred degrees
I got one foot out the door
Where are my keys?
'Cause I gotta leave, yeah

In the back of the cab
I tip the driver, 'head of time
Get me there fast
I got your body on my mind
I want it bad
Ooh, just the thought of you gets me so high, so high

Girl, you're the one I want to want me
And if you want me, girl, you got me
There's nothing I know I wouldn't do, I wouldn't do
Just to get up next to you

Girl, you're the one I want to want me
And if you want me, girl, you got me
There's nothing I know I wouldn't do, I wouldn't do
Just to get up next to you
Just to get up next to you

You open the door
Wearing nothing but a smile, fell to the floor
And you whisper in my ear, ""Baby, I'm yours.""
Ooh, just the thought of you gets me so high, so high

Girl, you're the one I want to want me
And if you want me, girl, you got me
There's nothing I know I wouldn't do, I wouldn't do
Just to get up next to you

Girl, you're the one I want to want me
And if you want me, girl, you got me
There's nothing I know I wouldn't do, I wouldn't do
Just to get up next to you
Just to get up next to you

Just the thought of you gets me so high, so high
Ooh, just the thought of you gets me so high, so high

Girl, you're the one I want to want me
And if you want me, girl, you got me
There's nothing I know I wouldn't do, I wouldn't do
Just to get up next to you

Girl, you're the one I want to want me
And if you want me, girl, you got me
There's nothing I know I wouldn't do, I wouldn't do
Just to get up next you (I would do anything)
Just to get up next you (Anything and everything)
Just to get up next to you
Just to get up next to you",1990
11,"I stay out too late
Got nothin' in my brain
That's what people say, mmh-hmm
That's what people say, mmh-hmm

I go on too many dates (heh-heh)
But I can't make 'em stay
At least that's what people say, mmh-hmm
That's what people say, mmh-hmm

But I keep cruisin'
Can't stop, won't stop movin'
It's like I got this music
In my mind sayin', ""it's gonna be all right""

'Cause the players gonna play, play, play, play, play
And the haters gonna hate, hate, hate, hate, hate
Baby, I'm just gonna shake, shake, shake, shake, shake
I shake it off, I shake it off (whoo)

Heartbreakers gonna break, break, break, break, break
And the fakers gonna fake, fake, fake, fake, fake
Baby, I'm just gonna shake, shake, shake, shake, shake
I shake it off, I shake it off (whoo)

I never miss a beat, ah
I'm lightnin' on my feet
And that's what they don't see, mmh-hmm
That's what they don't see, mmh-hmm

I'm dancin' on my own (dancin' on my own)
I'll make the moves up as I go (moves up as I go)
And that's what they don't know, mmh-hmm
That's what they don't know, mmh-hmm

But I keep cruisin'
Can't stop, won't stop groovin'
It's like I got this music
In my mind sayin', ""it's gonna be all right""

'Cause the players gonna play, play, play, play, play
And the haters gonna hate, hate, hate, hate, hate
Baby, I'm just gonna shake, shake, shake, shake, shake
I shake it off, I shake it off (whoo)

Heartbreakers gonna break, break, break, break, break
And the fakers gonna fake, fake, fake, fake, fake
Baby, I'm just gonna shake, shake, shake, shake, shake
I shake it off, I shake it off (whoo)

I shake it off, I shake it off
I, I, I shake it off, I shake it off
I, I, I shake it off, I shake it off
I, I, I shake it off, I shake it off (whoo)

Hey, hey, hey
Just think while you've been getting down and out about the liars and the dirty, dirty cheats of the world
You could've been getting down to this sick beat

My ex-man brought his new girlfriend
She's like, ""Oh my God""
But I'm just gonna shake
And to the fella over there
With the hella good hair
Won't you come on over, baby
We can shake, shake, shake
Yeah, oh

'Cause the players gonna play, play, play, play, play
And the haters gonna hate, hate, hate, hate, hate (haters gonna hate)
Baby, I'm just gonna shake, shake, shake, shake, shake
I shake it off, I shake it off (whoo)

Heartbreakers gonna break, break, break, break, break (mmm)
And the fakers gonna fake, fake, fake, fake, fake (they fake, they fake, they fake)
Baby, I'm just gonna shake, shake, shake, shake, shake
I shake it off, I shake it off (whoo)

I shake it off, I shake it off
I, I, I shake it off, I shake it off
I, I, I shake it off, I shake it off
I, I, I shake it off, I shake it off (whoo)

I shake it off, I shake it off
I, I, I shake it off, I shake it off (you got to)
I, I, I shake it off, I shake it off
I, I, I shake it off, I shake it off (whoo)",1990
12,"Like a small boat
In the ocean
Sending big waves
Into motion

Like how a single word
Can make a heart open
I might only have one match
But I can make an explosion

And all those things I didn't say
Wrecking balls inside my brain
I will scream them loud tonight
Can you hear my voice this time

This is my fight song
Take back my life song
Prove I'm all right song
My power's turned on
Starting right now I'll be strong
I'll play my fight song
And I don't really care if nobody else believes
'Cause I've still got a lot of fight left in me

Losing friends and I'm chasing sleep
Everybody's worried about me
In too deep
Say I'm in too deep (in too deep)

And it's been two years, I miss my home
But there's a fire burning in my bones
And I still believe
Yeah, I still believe

And all those things I didn't say
Wrecking balls inside my brain
I will scream them loud tonight
Can you hear my voice this time?

This is my fight song
Take back my life song
Prove I'm all right song
My power's turned on
Starting right now I'll be strong
I'll play my fight song
And I don't really care if nobody else believes
'Cause I've still got a lot of fight left in me
A lot of fight left in me

Like a small boat
In the ocean
Sending big waves
Into motion

Like how a single word
Can make a heart open
I might only have one match
But I can make an explosion

This is my fight song
Take back my life song
Prove I'm all right song
My power's turned on
Starting right now I'll be strong
I'll play my fight song
And I don't really care if nobody else believes
'Cause I've still got a lot of fight left in me

Now I've still got a lot of fight left in me",1990
13,"If your lips are moving, If your lips are moving
If your lips are moving, then you're lyin', lyin', lyin', baby
If your lips are moving, If your lips are moving
If your lips are moving, then you're lyin', lyin', lyin', baby

Boy, look at me in my face
Tell me that you're not just about this Bass
You really think I could be replaced
Nah, I come from outer space
And I'm a classy girl, I'm a hold it up
You're full of something but it ain't love
And what we got, straight overdue
Go find somebody new

You can buy me diamond earrings and deny-ny-ny, ny-ny-ny, deny-ny
But I smell her on your collar so goodbye-bye-bye, bye-bye-bye

I know you lie
'Cause your lips are moving
Tell me do you think I'm dumb?
I might be young, but I ain't stupid
Talking around in circles with your tongue
I gave you bass, You gave me sweet talk
Saying how I'm your number one
But I know you lie
'Cause your lips are moving
Baby don't you know I'm done

If your lips are moving, If your lips are moving
If your lips are moving, then you're lyin', lyin', lyin', baby
If your lips are moving, If your lips are moving
If your lips are moving, then you're lyin', lyin', lyin', baby

Hey baby don't you bring them tears
'Cause it's too late, too late babe
You only love me when you're here
You're so two-faced, two-faced babe

You can buy me diamond earrings and deny-ny-ny, ny-ny-ny, deny-ny
But I smell her on your collar so goodbye-bye-bye, bye-bye-bye

I know you lie
'Cause your lips are moving
Tell me do you think I'm dumb?
I might be young, but I ain't stupid
Talking around in circles with your tongue
I gave you bass, You gave me sweet talk
Saying how I'm your number one
But I know you lie
'Cause your lips are moving
Baby don't you know I'm done

Come on, say!

If your lips are moving, If your lips are moving
If your lips are moving, then you're lyin', lyin', lyin', baby
If your lips are moving, If your lips are moving
If your lips are moving, then you're lyin', lyin', lyin', baby

(All right now, I wanna hear y'all singing with me)

I know you lie
'Cause your lips are moving
Tell me do you think I'm dumb?
I might be young, but I ain't stupid
Talking around in circles with your tongue
I gave you bass, You gave me sweet talk
Saying how I'm your number one
But I know you lie
'Cause your lips are moving
Baby don't you know I'm done",1990
14,"Because you know I'm all about that bass, 'bout that bass, no treble
I'm all about that bass, 'bout that bass, no treble
I'm all about that bass, 'bout that bass, no treble
I'm all about that bass, 'bout that bass

Yeah it's pretty clear, I ain't no size two
But I can shake it, shake it like I'm supposed to do
'Cause I got that boom boom that all the boys chase
All the right junk in all the right places

I see the magazines working that Photoshop
We know that shit ain't real, come on now, make it stop
If you got beauty beauty just raise 'em up
'Cause every inch of you is perfect from the bottom to the top

Yeah, my mama she told me don't worry about your size
She says, boys like a little more booty to hold at night
You know I won't be no stick figure silicone Barbie doll
So, if that's what's you're into then go ahead and move along

Because you know I'm all about that bass, 'bout that bass, no treble
I'm all 'bout that bass, 'bout that bass, no treble
I'm all 'bout that bass, 'bout that bass, no treble
I'm all 'bout that bass, 'bout that bass, hey

I'm bringing booty back
Go ahead and tell them skinny bitches that
No, I'm just playing, I know you think you're fat
But I'm here to tell you
Every inch of you is perfect from the bottom to the top

Yeah, my mama she told me don't worry about your size
She says, boys like a little more booty to hold at night
You know I won't be no stick figure silicone Barbie doll
So, if that's what's you're into then go ahead and move along

Because you know I'm all about that bass, 'bout that bass, no treble
I'm all about that bass, 'bout that bass, no treble
I'm all about that bass, 'bout that bass, no treble
I'm all about that bass, 'bout that bass

Because you know I'm all about that bass, 'bout that bass, no treble
Said I'm all about that bass, 'bout that bass, no treble
I'm all about that bass, 'bout that bass, no treble
I'm all about that bass, 'bout that bass

Because you know I'm all about that bass, 'bout that bass, no treble
Said I'm all about that bass, 'bout that bass, no treble
Oh, I'm all about that bass, 'bout that bass, no treble
I'm all about that bass, 'bout that bass

'Bout that bass, 'bout that bass, hey hey
Hey, hey, ooh
You know you like this bass
Yeah",1990
